PM_INST_CMPL, IPC, CLUSTER_ID
21943878700.000000,0.588581,6
34013061353.000000,0.594376,5
34724816404.000000,0.587631,5
34754976546.000000,0.585796,5
34906929551.000000,0.596732,5
34828971897.000000,0.598934,5
34781609180.000000,0.599001,5
34175089600.000000,0.558952,5
22602358087.000000,0.583507,6
30111434361.000000,0.590881,5
22644746579.000000,0.593755,6
22368532870.000000,0.592291,6
21973180801.000000,0.581674,6
30055673777.000000,0.589522,5
34306467119.000000,0.582601,5
34686125534.000000,0.590143,5
33857643677.000000,0.589330,5
34278903846.000000,0.583013,5
34654483011.000000,0.593579,5
34687632527.000000,0.597306,5
34092918688.000000,0.561260,5
22539990904.000000,0.580708,6
22541513498.000000,0.589434,6
22232981659.000000,0.583958,6
22596315679.000000,0.575821,6
31195438370.000000,0.587812,5
34971584986.000000,0.586721,5
35156028455.000000,0.579500,5
35298895136.000000,0.578749,5
35556742070.000000,0.587093,5
35461350581.000000,0.587865,5
35746398702.000000,0.594685,5
34984533097.000000,0.564937,5
23330474140.000000,0.576951,6
23186147753.000000,0.580876,6
22869320929.000000,0.578035,6
21659018685.000000,0.578184,6
33855602714.000000,0.579511,5
34157253409.000000,0.589224,5
34068352013.000000,0.590370,5
34351997632.000000,0.594033,5
33862776854.000000,0.565703,5
22352579408.000000,0.576806,6
22280780607.000000,0.584414,6
22136912465.000000,0.578073,6
29791473785.000000,0.587049,5
33676254769.000000,0.588519,5
33852454057.000000,0.581706,5
21522961733.000000,0.577466,6
29729508247.000000,0.589534,5
33512688695.000000,0.593061,5
33493692950.000000,0.584980,5
33368677003.000000,0.582157,5
33455610322.000000,0.568570,5
33866972657.000000,0.590282,5
22065718018.000000,0.573592,6
33784865365.000000,0.596212,5
33885851254.000000,0.594247,5
22039275352.000000,0.580971,6
21804506634.000000,0.580106,6
22013451155.000000,0.580217,6
34641756758.000000,0.593301,5
30915159166.000000,0.588758,5
34441030710.000000,0.584738,5
34296680369.000000,0.581569,5
33986887605.000000,0.576029,5
34567062127.000000,0.588599,5
34424338520.000000,0.587737,5
22542742005.000000,0.580602,6
22641814542.000000,0.574756,6
22286711243.000000,0.579990,6
34595842081.000000,0.590432,5
20913144900.000000,0.570740,6
32705996051.000000,0.577264,5
32954572316.000000,0.581371,5
32547906633.000000,0.576163,5
32826870356.000000,0.579043,5
21472214435.000000,0.574243,6
21475895853.000000,0.565884,6
33427343653.000000,0.586797,5
29503755867.000000,0.584379,5
21371432834.000000,0.571648,6
32925318054.000000,0.582582,5
33200141101.000000,0.579945,5
20635871448.000000,0.570342,6
32088268359.000000,0.576593,5
32436713515.000000,0.580338,5
32377126837.000000,0.576710,5
32309667760.000000,0.582559,5
31924421968.000000,0.584133,5
21070130822.000000,0.563386,6
21095635944.000000,0.572514,6
33385157838.000000,0.585817,5
29379279604.000000,0.582294,5
20967007824.000000,0.570607,6
32846628723.000000,0.577528,5
21068393690.000000,0.573447,6
32992142124.000000,0.577540,5
33030975484.000000,0.582121,5
32965969159.000000,0.581101,5
32970658316.000000,0.587854,5
32303548706.000000,0.586782,5
21600556137.000000,0.573180,6
21563395131.000000,0.566229,6
21352789192.000000,0.570585,6
34669132609.000000,0.587266,5
30498468851.000000,0.581101,5
33764349562.000000,0.582176,5
